day,dai_name,dai_num,game,difference,bb,rb,Total,big_per,reg_per
2025-10-01,マイジャグラーV,919,7655,233,25,29,141.8,306.2,264.0
2025-10-01,マイジャグラーV,920,7747,3561,40,25,119.2,193.7,309.9
2025-10-01,マイジャグラーV,921,6203,-131,23,18,151.3,269.7,344.6
2025-10-01,マイジャグラーV,922,8557,441,29,32,140.3,295.1,267.4
2025-10-01,マイジャグラーV,923,9591,3902,50,26,126.2,191.8,368.9
2025-10-01,マイジャグラーV,924,8234,3742,40,38,105.6,205.8,216.7
2025-10-01,マイジャグラーV,925,7883,2541,32,36,115.9,246.3,219.0
2025-10-01,マイジャグラーV,983,8216,974,33,23,146.7,249.0,357.2
2025-10-01,マイジャグラーV,984,7330,2484,33,32,112.8,222.1,229.1
2025-10-01,マイジャグラーV,985,6786,-690,22,21,157.8,308.5,323.1
2025-10-01,マイジャグラーV,986,6869,-905,22,19,167.5,312.2,361.5
2025-10-01,マイジャグラーV,987,7020,3720,39,27,106.4,180.0,260.0
2025-10-01,マイジャグラーV,988,9073,3082,41,39,113.4,221.3,232.6
2025-10-01,マイジャグラーV,989,8531,2130,37,31,125.5,230.6,275.2
2025-10-01,マイジャグラーV,990,7586,531,30,21,148.7,252.9,361.2
2025-10-01,マイジャグラーV,991,9202,2444,40,35,122.7,230.1,262.9
2025-10-01,マイジャグラーV,992,8575,2018,35,34,124.3,245.0,252.2
2025-10-01,マイジャグラーV,993,9073,962,27,47,122.6,336.0,193.0
2025-10-01,マイジャグラーV,994,8349,1095,30,42,116.0,278.3,198.8
2025-10-01,マイジャグラーV,995,8916,2838,42,34,117.3,212.3,262.2
2025-10-01,マイジャグラーV,996,8414,3845,38,42,105.2,221.4,200.3
2025-10-01,マイジャグラーV,997,9844,679,35,34,142.7,281.3,289.5
2025-10-01,マイジャグラーV,998,8445,4757,48,30,108.3,175.9,281.5
2025-10-01,マイジャグラーV,999,10083,3909,48,40,114.6,210.1,252.1
2025-10-01,マイジャグラーV,1000,9943,5750,54,36,110.5,184.1,276.2
2025-10-01,マイジャグラーV,1001,9060,203,31,33,141.6,292.3,274.5
2025-10-01,マイジャグラーV,1027,8402,2227,35,38,115.1,240.1,221.1
2025-10-01,マイジャグラーV,1028,8824,2116,38,29,131.7,232.2,304.3
2025-10-01,マイジャグラーV,1029,9607,5029,54,38,104.4,177.9,252.8
2025-10-01,マイジャグラーV,1030,10230,2553,44,34,131.2,232.5,300.9
2025-10-01,マイジャグラーV,1031,7964,-1745,20,30,159.3,398.2,265.5
2025-10-01,マイジャグラーV,1032,8565,159,32,27,145.2,267.7,317.2
2025-10-01,マイジャグラーV,1033,7913,-37,25,30,143.9,316.5,263.8
2025-10-01,マイジャグラーV,1034,7615,-1369,22,24,165.5,346.1,317.3
2025-10-01,マイジャグラーV,1035,8414,-1447,26,24,168.3,323.6,350.6
2025-10-01,マイジャグラーV,1036,8896,332,31,31,143.5,287.0,287.0
2025-10-01,マイジャグラーV,1037,9849,1962,45,23,144.8,218.9,428.2
2025-10-01,マイジャグラーV,1038,9246,1559,38,36,124.9,243.3,256.8
2025-10-01,マイジャグラーV,1039,8095,1306,35,23,139.6,231.3,352.0
2025-10-01,マイジャグラーV,1040,9687,2405,43,34,125.8,225.3,284.9
2025-10-01,マイジャグラーV,1041,10008,1929,38,46,119.1,263.4,217.6
2025-10-01,マイジャグラーV,1042,9482,2469,41,42,114.2,231.3,225.8
2025-10-01,マイジャグラーV,1043,8194,2351,35,37,113.8,234.1,221.5
2025-10-01,マイジャグラーV,1044,7746,1616,37,22,131.3,209.4,352.1
2025-10-01,マイジャグラーV,1045,9002,506,31,36,134.4,290.4,250.1
2025-10-01,マイジャグラーV,1046,8064,833,28,35,128.0,288.0,230.4
2025-10-01,マイジャグラーV,1047,8069,566,27,35,130.1,298.9,230.5
2025-10-01,マイジャグラーV,1048,7602,2434,36,28,118.8,211.2,271.5
2025-10-01,マイジャグラーV,1049,7588,2427,33,36,110.0,229.9,210.8
2025-10-01,マイジャグラーV,1050,8317,-411,29,26,151.2,286.8,319.9
2025-10-01,マイジャグラーV,1051,7107,1963,30,33,112.8,236.9,215.4
2025-10-01,マイジャグラーV,1052,9297,2532,43,29,129.1,216.2,320.6
2025-10-01,マイジャグラーV,1053,5091,-255,17,14,164.2,299.5,363.6
2025-10-01,マイジャグラーV,1054,8088,2438,39,30,117.2,207.4,269.6
2025-10-01,マイジャグラーV,1055,7535,936,29,25,139.5,259.8,301.4
2025-10-01,マイジャグラーV,1056,8922,3172,41,39,111.5,217.6,228.8
2025-10-01,マイジャグラーV,1057,6590,-64,25,13,173.4,263.6,506.9
2025-10-01,マイジャグラーV,1058,7806,1735,37,20,136.9,211.0,390.3
2025-10-01,スマスロ北斗の拳,774,3957,817,51,10,64.9,77.6,395.7
2025-10-01,スマスロ北斗の拳,775,2411,-1759,14,2,150.7,172.2,1205.5
2025-10-01,スマスロ北斗の拳,776,5531,-3058,33,15,115.2,167.6,368.7
2025-10-01,スマスロ北斗の拳,777,1799,-1339,9,4,138.4,199.9,449.8
2025-10-01,スマスロ北斗の拳,778,3522,6334,83,9,38.3,42.4,391.3
2025-10-01,スマスロ北斗の拳,779,7007,-134,75,21,73.0,93.4,333.7
2025-10-01,スマスロ北斗の拳,780,3454,-2679,18,6,143.9,191.9,575.7
2025-10-01,スマスロ北斗の拳,781,839,-1089,2,1,279.7,419.5,839.0
2025-10-01,スマスロ北斗の拳,782,7441,762,90,24,65.3,82.7,310.0
2025-10-01,スマスロ北斗の拳,783,2302,-704,20,4,95.9,115.1,575.5
2025-10-01,スマスロ北斗の拳,784,5719,394,65,14,72.4,88.0,408.5
2025-10-01,スマスロ北斗の拳,785,5117,1804,71,12,61.7,72.1,426.4
2025-10-01,スマスロ北斗の拳,786,3495,261,38,5,81.3,92.0,699.0
2025-10-01,スマスロ北斗の拳,787,4447,6753,96,12,41.2,46.3,370.6
2025-10-01,スマスロ北斗の拳,788,7068,65,76,24,70.7,93.0,294.5
2025-10-01,スマスロ北斗の拳,789,1476,-1696,4,2,246.0,369.0,738.0
2025-10-01,スマスロ北斗の拳,790,2174,-807,17,5,98.8,127.9,434.8
2025-10-01,スマスロ北斗の拳,791,2976,282,34,6,74.4,87.5,496.0
2025-10-01,スマスロ北斗の拳,792,4760,-2363,35,12,101.3,136.0,396.7
2025-10-01,スマスロ北斗の拳,793,3556,-2684,18,8,136.8,197.6,444.5
2025-10-01,スマスロ北斗の拳,794,4973,-1344,46,12,85.7,108.1,414.4
2025-10-01,スマスロ北斗の拳,795,2965,556,35,6,72.3,84.7,494.2
2025-10-01,スマスロ北斗の拳,796,2587,-1532,14,7,123.2,184.8,369.6
2025-10-01,スマスロ北斗の拳,797,3898,2531,66,10,51.3,59.1,389.8
2025-10-01,スマスロ北斗の拳,798,6027,3057,75,28,58.5,80.4,215.2
2025-10-01,スマスロ北斗の拳,799,4156,1181,61,12,56.9,68.1,346.3
2025-10-01,スマスロ北斗の拳,800,1494,3018,43,4,31.8,34.7,373.5
2025-10-01,スマスロ北斗の拳,801,5607,-1421,47,12,95.0,119.3,467.2
2025-10-01,スマスロ北斗の拳,802,3701,-1092,34,10,84.1,108.9,370.1
2025-10-01,沖ドキ!ゴージャス 25Φ,913,2011,-972,7,7,143.6,287.3,287.3
2025-10-01,沖ドキ!ゴージャス 25Φ,914,1290,-893,3,5,161.2,430.0,258.0
2025-10-01,沖ドキ!ゴージャス 25Φ,915,474,-663,0,1,474.0,0.0,474.0
2025-10-01,沖ドキ!ゴージャス 25Φ,916,1073,1908,16,2,59.6,67.1,536.5
2025-10-01,沖ドキ!ゴージャス 25Φ,917,3723,-1407,14,19,112.8,265.9,195.9
2025-10-01,沖ドキ!ゴージャス 25Φ,918,1219,-206,6,5,110.8,203.2,243.8
2025-10-01,沖ドキ!ゴージャス 25Φ,964,3667,-2426,12,9,174.6,305.6,407.4
2025-10-01,沖ドキ!ゴージャス 25Φ,965,2589,-769,14,5,136.3,184.9,517.8
2025-10-01,沖ドキ!ゴージャス 25Φ,966,2088,-673,10,4,149.1,208.8,522.0
2025-10-01,沖ドキ!ゴージャス 25Φ,967,1762,652,13,8,83.9,135.5,220.2
2025-10-01,沖ドキ!ゴージャス 25Φ,968,192,761,3,5,24.0,64.0,38.4
2025-10-01,沖ドキ!ゴージャス 25Φ,969,4089,-3099,13,6,215.2,314.5,681.5
2025-10-01,沖ドキ!ゴージャス 25Φ,970,307,2352,10,6,19.2,30.7,51.2
2025-10-01,沖ドキ!ゴージャス 25Φ,971,2571,-1951,6,8,183.6,428.5,321.4
2025-10-01,沖ドキ!ゴージャス 25Φ,972,3385,3742,36,16,65.1,94.0,211.6
2025-10-01,沖ドキ!ゴージャス 25Φ,973,2427,-886,9,12,115.6,269.7,202.2
2025-10-01,沖ドキ!ゴージャス 25Φ,974,1097,-57,6,4,109.7,182.8,274.2
2025-10-01,沖ドキ!ゴージャス 25Φ,975,927,419,6,6,77.2,154.5,154.5
2025-10-01,沖ドキ!ゴージャス 25Φ,976,4527,-188,25,19,102.9,181.1,238.3
2025-10-01,沖ドキ!ゴージャス 25Φ,977,2430,-2084,5,7,202.5,486.0,347.1
2025-10-01,沖ドキ!ゴージャス 25Φ,978,581,3637,21,3,24.2,27.7,193.7
2025-10-01,沖ドキ!ゴージャス 25Φ,979,2506,-198,13,12,100.2,192.8,208.8
2025-10-01,沖ドキ!ゴージャス 25Φ,980,1407,1341,13,10,61.2,108.2,140.7
