name,url,directory
エスパス日拓溝の口駅前本店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c/%e3%82%a8%e3%82%b9%e3%83%91%e3%82%b9%e6%97%a5%e6%8b%93%e6%ba%9d%e3%81%ae%e5%8f%a3%e9%a7%85%e5%89%8d%e6%9c%ac%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\エスパス日拓溝の口駅前本店
エスパス日拓溝の口駅前新館,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c/%e3%82%a8%e3%82%b9%e3%83%91%e3%82%b9%e6%97%a5%e6%8b%93%e6%ba%9d%e3%81%ae%e5%8f%a3%e9%a7%85%e5%89%8d%e6%96%b0%e9%a4%a8-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\エスパス日拓溝の口駅前新館
SLOT ACT,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c/slot-act-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\SLOT ACT
エスパス渋谷新館,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E3%82%A8%E3%82%B9%E3%83%91%E3%82%B9%E6%97%A5%E6%8B%93%E6%B8%8B%E8%B0%B7%E9%A7%85%E5%89%8D%E6%96%B0%E9%A4%A8-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\エスパス渋谷新館
エスパス渋谷本館,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E3%82%A8%E3%82%B9%E3%83%91%E3%82%B9%E6%97%A5%E6%8B%93%E6%B8%8B%E8%B0%B7%E6%9C%AC%E9%A4%A8-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\エスパス渋谷本館
楽園溝の口店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c/%e6%a5%bd%e5%9c%92%e6%ba%9d%e3%81%ae%e5%8f%a3%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\楽園溝の口店
エスパス日拓秋葉原駅前店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e6%9d%b1%e4%ba%ac%e9%83%bd/%e3%82%a8%e3%82%b9%e3%83%91%e3%82%b9%e6%97%a5%e6%8b%93%e7%a7%8b%e8%91%89%e5%8e%9f%e9%a7%85%e5%89%8d%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\エスパス日拓秋葉原駅前店
戸越ミナト,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E6%88%B8%E8%B6%8A%E3%83%9F%E3%83%8A%E3%83%88-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\戸越ミナト
楽園渋谷駅前店,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E6%A5%BD%E5%9C%92%E6%B8%8B%E8%B0%B7%E9%A7%85%E5%89%8D%E5%BA%97-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\楽園渋谷駅前店
楽園相模原店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e7%a5%9e%e5%a5%88%e5%b7%9d%e7%9c%8c/%e6%a5%bd%e5%9c%92%e7%9b%b8%e6%a8%a1%e5%8e%9f%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\楽園相模原店
ザシティ-ベルシティ川崎店,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C/%E3%82%B6%E3%82%B7%E3%83%86%E3%82%A3-%E3%83%99%E3%83%AB%E3%82%B7%E3%83%86%E3%82%A3%E5%B7%9D%E5%B4%8E%E5%BA%97-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\ザシティ-ベルシティ川崎店
ヒロキ東口店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e6%9d%b1%e4%ba%ac%e9%83%bd/%e3%83%92%e3%83%ad%e3%82%ad%e6%9d%b1%e5%8f%a3%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\ヒロキ東口店
ビッグアップル．秋葉原店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e6%9d%b1%e4%ba%ac%e9%83%bd/%e3%83%93%e3%83%83%e3%82%b0%e3%82%a2%e3%83%83%e3%83%97%e3%83%ab%ef%bc%8e%e7%a7%8b%e8%91%89%e5%8e%9f%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,D:\Users\Documents\python\saved_html\ビッグアップル．秋葉原店
マルハン池袋店,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E3%83%9E%E3%83%AB%E3%83%8F%E3%83%B3%E6%B1%A0%E8%A2%8B%E5%BA%97-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\マルハン池袋店
アイランド秋葉原,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E6%9D%B1%E4%BA%AC%E9%83%BD/%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%89%E7%A7%8B%E8%91%89%E5%8E%9F%E5%BA%97-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\アイランド秋葉原
中山UNO,https://ana-slo.com/%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%83%BC%E3%82%BF/%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C/%E4%B8%AD%E5%B1%B1uno-%E3%83%87%E3%83%BC%E3%82%BF%E4%B8%80%E8%A6%A7/,D:\Users\Documents\python\saved_html\中山UNO
